Stock Symbol,Number of Shares Owned,Average Cost,Current Value,
UMPQ,8,100.64,148.56,
IRBO,7,144.28,148.32,
LANC,7,99.71,102.54,
NBIX,2,122.18,131.97,
MGV,9,117.07,122.16,
EET,7,173.43,172.04,
FLIN,3,115.85,175.74,
EEM,6,172.13,171.82,
PICK,4,133.13,162.92,
AZN,2,131.97,108.2,
VMI,8,152.76,197.37,
HIE,6,130.45,166.65,
MORN,10,164.21,191.36,
CTT,5,100.94,102.06,
FNKO,2,139.25,107.65,
HYLD,8,143.61,169.6,
PSCH,4,129.25,110.45,
KBE,1,135,171.11,
ADS,3,101.95,192.76,
BREW,6,128.57,113.25,
SUZ,6,76.96,191.02,
FLN,3,173.91,109.99,
JHME,10,82.7,199.2,
FRED,9,157.56,188.67,
UNP,7,100.88,152.92,
M,3,129.87,185.05,
NXR,3,94.43,102.82,
TKKSR,1,134.73,162.82,
SGDJ,4,146.85,189.78,
BROGR,10,85.42,106.87,
ZF,6,132.2,108.83,
LOGC,10,112.82,107.74,
MGU,9,87.14,178.96,
REGL,1,116.34,161.53,
MTSI,8,147.6,150.93,
RFL,2,150.04,169.32,
HALO,7,158.57,152.27,
DBVT,9,104.59,175.52,
HOMZ,4,85.24,110.9,
STNL,4,158.65,121.32,
HIW,1,81.8,178.52,
GWRS,4,123.01,179.87,
UWT,10,174.21,192.01,
AMED,8,124.62,196.87,
TSRI,3,127.21,169.47,
FCEF,6,146.25,144.52,
PLW,1,86.81,191.61,
BSJP,8,93.72,184.72,
SANW,3,126.97,194.96,
STKL,3,150,178.61,
FSZ,5,143.42,148.94,
BIOL,8,145.67,160.47,
ALE,7,155.66,159.69,
CASM,10,171.65,172.83,
SSB,7,149.18,188.56,
BCNA,6,141.15,159.81,
IIGD,8,165.97,171.63,
DHR,1,143.07,153.87,
PLCY,3,95.69,105.84,
AVEO,1,159.21,144.36,
ISDX,3,144.05,112.78,
DTIL,9,170.94,183.45,
NZF,6,77.7,127.63,
NOVT,7,139.99,187.8,
AMZN,10,162.67,161.98,
CWAI,7,154.83,191.66,
MTCH,8,91.5,182.63,
OTIV,3,146.83,150.7,
PZT,2,123.35,171.39,
DWTR,6,158.36,155.6,
PGNX,4,135.5,188.18,
GWR,2,161.58,147.64,
CHKE,9,111.65,150.35,
BCE,4,121.42,178.86,
FMCI,5,167.53,130.06,
STAG,5,138.69,109.89,
MUFG,1,133.19,189.91,
EWY,7,162.83,161.74,
TZACU,7,146.35,173.62,
SNOA,9,99.22,156.98,
FITB,1,96.46,181,
DSSI,1,169.99,167.58,
TAP,6,126.98,167.75,
EEMO,3,138.63,177.69,
NOW,1,174.57,170.23,
BBRE,7,99.54,197.44,
RLM,8,152.64,155.63,
BSA,10,115.42,143.47,
CELG,6,165.39,178.34,
EPU,8,113.79,102.56,
VOC,8,81.31,124.02,
ALL,8,137.02,182.54,
AEL,8,140.37,134.52,
MOR,6,157.59,161.67,
GJP,5,80.71,161.25,
FCA,8,170.38,185.79,
BQH,3,133.45,126.95,
PTI,8,149.96,167.38,
TY,7,128.22,121.29,
CVR,1,143.61,123.6,
HAE,8,115.99,129.91,
FWONA,2,132.88,191.93,
FFSG,6,80.88,120.82,
DVAX,10,96.63,166.93,
FTS,8,90.07,172.65,
WIT,5,117.27,131.55,
BSCJ,6,78.39,190,
EMKR,3,122.18,164.97,
SIX,1,109.45,181.71,
ARKW,2,75.05,150.32,
CERC,4,106.74,154.83,
FNSR,6,125.98,176.24,
EAT,1,127.75,182.12,
CKX,6,127.57,103.75,
YELP,9,89.06,118.82,
BLKB,6,111.8,161.09,
USIG,1,147.37,128,
JHML,4,109.89,175.19,
APPN,3,103.32,173.16,
SYF,4,118.03,136.73,
CDE,8,83.39,168.48,
FTI,2,115.14,182.98,
HOVNP,8,165.86,199.25,
BDCZ,10,137.41,151.82,
EMLC,5,139.42,165.88,
